,nationality,count,percentage
2,american,38918,0.4257288191215884
6,french,17029,0.18628233878466335
3,german,6672,0.07298583383470984
7,british,4163,0.04553957228026035
13,russian,3009,0.03291582344254225
12,spanish,2457,0.02687742711808784
4,italian,2320,0.025378767160750423
1,,1858,0.02032489197615271
15,japanese,1793,0.01961384893070065
9,argentine,1458,0.015949242465678498
14,swiss,1411,0.015435103648197779
8,dutch,1287,0.014078652299950773
21,mexican,1055,0.011540775583875732
0,austrian,839,0.009177924848219658
18,belgian,804,0.008795055516053163
25,hungarian,771,0.008434064431439042
19,nationality unknown,526,0.005753979106273587
24,czech,523,0.005721161734945031
10,brazilian,486,0.005316414155226166
40,venezuelan,424,0.0046381884811026635
28,polish,362,0.003959962806979161
17,danish,303,0.0033145545041842147
26,canadian,298,0.0032598588853032873
30,chilean,291,0.0031832850188699886
5,swedish,216,0.002362850735656074
16,finnish,174,0.0019034075370562818
33,israeli,166,0.0018158945468467976
37,cuban,140,0.0015314773286659738
54,colombian,133,0.001454903462232675
36,ukrainian,109,0.0011923644916042224
51,norwegian,105,0.0011486079964994804
59,portuguese,105,0.0011486079964994804
63,south african,88,0.0009626428923043264
35,croatian,86,0.0009407646447519554
61,peruvian,80,0.0008751299020948422
48,indian,78,0.0008532516545424712
27,australian,76,0.0008313734069901001
41,uruguayan,75,0.0008204342832139145
31,latvian,64,0.0007001039216758737
49,costa rican,64,0.0007001039216758737
81,serbian,60,0.0006563474265711317
46,guatemalan,55,0.000601651807690204
22,yugoslav,49,0.0005360170650330909
39,romanian,40,0.0004375649510474211
75,sudanese,38,0.00041568670349505005
32,greek,27,0.00029535634195700924
94,burkinabe,26,0.0002844172181808237
45,icelandic,21,0.0002297215992998961
55,haitian,20,0.00021878247552371054
70,turkish,19,0.00020784335174752502
64,malian,19,0.00020784335174752502
42,irish,18,0.0001969042279713395
50,korean,17,0.00018596510419515396
82,bosnian,17,0.00018596510419515396
88,nigerian,16,0.00017502598041896843
29,slovenian,15,0.00016408685664278291
62,congolese,15,0.00016408685664278291
90,macedonian,14,0.0001531477328665974
11,luxembourgish,11,0.0001203303615380408
86,lithuanian,8,8.751299020948422e-05
65,cambodian,8,8.751299020948422e-05
47,chinese,7,7.65738664332987e-05
58,ecuadorian,7,7.65738664332987e-05
57,zimbabwean,6,6.563474265711316e-05
23,scottish,5,5.4695618880927636e-05
66,canadian inuit,5,5.4695618880927636e-05
60,panamanian,4,4.375649510474211e-05
68,bulgarian,4,4.375649510474211e-05
69,bolivian,4,4.375649510474211e-05
56,iranian,4,4.375649510474211e-05
87,lebanese,4,4.375649510474211e-05
43,georgian,4,4.375649510474211e-05
34,czechoslovakian,3,3.281737132855658e-05
83,thai,3,3.281737132855658e-05
38,moroccan,2,2.1878247552371054e-05
80,malaysian,2,2.1878247552371054e-05
73,nicaraguan,2,2.1878247552371054e-05
91,new zealander,2,2.1878247552371054e-05
44,algerian,2,2.1878247552371054e-05
52,ethiopian,1,1.0939123776185527e-05
89,vietnamese,1,1.0939123776185527e-05
85,namibian,1,1.0939123776185527e-05
92,filipino,1,1.0939123776185527e-05
93,pakistani,1,1.0939123776185527e-05
53,kuwaiti,1,1.0939123776185527e-05
78,azerbaijani,1,1.0939123776185527e-05
84,slovak,1,1.0939123776185527e-05
79,egyptian,1,1.0939123776185527e-05
77,guyanese,1,1.0939123776185527e-05
76,tanzanian,1,1.0939123776185527e-05
20,persian,1,1.0939123776185527e-05
74,tunisian,1,1.0939123776185527e-05
72,paraguayan,1,1.0939123776185527e-05
67,estonian,1,1.0939123776185527e-05
71,taiwanese,1,1.0939123776185527e-05
